Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
TOI 259.01,0.075,0.08,,1.09,,1653.0,1235.0,,2.4238,2.2484,11.3,364.51,5480.0,4.452,True,toi
TOI 660.01,0.023,0.051,,1.03,,1411.0,1085.0,,9.2897,5.3589,10.2,352.18,6303.0,4.23,True,toi
TOI 559.01,0.043,0.101,,1.09,,1386.0,1249.0,,6.9839,5.076,9.6,233.27,5972.0,4.315,True,toi
TOI 889.01,0.08,0.025,,0.53,,2680.0,2215.0,,1.8349,2.673,10.0,388.48,6466.0,4.108,True,toi
TOI 787.01,0.007,0.003,,0.14,,2320.0,1774.0,,2.1263,2.17,8.8,180.29,6742.0,4.358,True,toi
TOI 713.01,0.0,0.0,,0.2,,462.0,356.0,,35.9994,4.1814,8.9,69.37,4317.0,4.637,True,toi
TOI 1007.01,0.233,0.116,,1.32,,2203.0,1282.0,,6.9989,3.953,8.2,283.29,6596.0,3.713,True,toi
TOI 1369.01,0.025,0.014,,0.55,,2224.0,1948.0,,7.6047,5.23,10.2,516.3,9139.0,4.29,True,toi
TOI 628.01,0.283,0.198,,1.08,,1925.0,1619.0,,3.4076,3.69,8.8,178.68,6174.0,4.227,True,toi
TOI 1329.01,0.147,0.041,,0.66,,2965.0,2444.0,,2.0198,3.394,9.8,398.63,7537.0,4.183,True,toi
TOI 1284.01,0.004,0.011,,0.23,,1201.0,924.0,,1.2833,2.0123,10.5,110.25,3855.0,4.685,True,toi
TOI 909.01,0.014,0.013,,0.16,,1768.0,1498.0,,3.9044,3.525,6.1,51.82,6059.0,4.258,True,toi
TOI 596.01,0.243,0.043,,0.74,,3616.0,2781.0,,1.5136,2.4401,8.9,388.68,6017.0,3.549,True,toi
TOI 1066.01,0.04,0.072,,1.16,,1458.0,1226.0,,4.6062,3.1216,10.9,353.89,5600.0,4.34,True,toi
TOI 722.01,,,,0.21,,,519.0,,15.3005,3.1952,10.0,57.69,4082.0,,True,toi
TOI 197.01,,,,0.75,,,789.0,,14.2781,8.6973,6.0,95.55,5083.0,,True,toi
TOI 1243.01,0.0,0.002,,0.2,,676.0,520.0,,4.6595,0.9012,8.9,43.19,3489.0,4.746,True,toi
TOI 241.01,0.473,0.218,,1.16,,2183.0,1679.0,,1.3867,2.3007,10.0,232.98,5752.0,4.387,True,toi
TOI 870.01,0.0,0.0,,0.21,,471.0,362.0,,22.038,2.5062,8.7,53.8,3782.0,4.642,True,toi
TOI 1402.01,0.184,0.023,,0.6,,5415.0,3049.0,,0.4389,0.947,10.1,576.74,7111.0,3.905,True,toi
TOI 267.01,0.219,0.195,,1.14,,1779.0,1368.0,,5.7526,5.4072,8.1,158.66,6079.0,4.029,True,toi
TOI 779.01,,,,0.36,,,1977.0,,0.7839,1.6424,8.1,634.71,,,True,toi
TOI 994.01,0.041,0.01,,0.34,,3701.0,2847.0,,2.3967,3.9453,10.0,543.15,10393.0,4.319,True,toi
TOI 346.01,0.009,0.067,,2.68,,1124.0,1027.0,,16.5631,2.317,11.8,745.22,6177.0,4.247,True,toi
TOI 1328.01,0.042,0.018,,0.58,,2318.0,1417.0,,4.0157,2.706,9.6,397.9,6585.0,3.943,True,toi
TOI 212.01,,,,0.4,,,2624.0,,0.3353,0.719,9.7,,,4.95,True,toi
TOI 501.01,0.759,0.268,,1.54,,2449.0,1493.0,,1.71,1.79,9.4,250.12,5875.0,4.106,True,toi
TOI 1239.01,0.0,0.008,,0.41,,832.0,640.0,,12.6397,3.3831,9.5,126.9,5217.0,4.592,True,toi
TOI 332.01,0.042,0.015,,0.29,,2315.0,2240.0,,0.7769,1.43,10.3,222.85,5190.0,4.419,True,toi
TOI 482.01,0.0,0.009,,0.81,,565.0,373.0,,10.8717,2.944,10.9,173.82,3692.0,4.684,True,toi
TOI 1398.01,0.17,0.036,,1.17,,3884.0,1588.0,,6.5561,2.703,8.5,648.4,9623.0,3.506,True,toi
TOI 927.01,0.05,0.012,,0.42,,3057.0,1622.0,,2.5852,1.963,8.5,314.62,6639.0,3.735,True,toi
TOI 1048.01,0.754,0.086,,0.93,,9494.0,6413.0,,0.3041,0.748,8.7,440.43,11892.0,4.136,True,toi
TOI 101.01,0.196,0.119,,1.18,,1984.0,1526.0,,1.4304,1.6166,11.4,375.31,5824.0,4.56,True,toi
TOI 1363.01,0.051,0.026,,1.17,,2127.0,852.0,,9.6926,2.709,9.5,615.12,6012.0,3.394,True,toi
TOI 1424.01,0.001,0.012,,0.31,,1035.0,796.0,,4.8962,2.3624,9.0,86.82,4529.0,4.483,True,toi
TOI 517.01,0.001,0.02,,1.06,,947.0,728.0,,9.885,2.4234,11.9,416.22,5419.0,4.584,True,toi
TOI 1049.01,0.468,0.238,,1.5,,2151.0,1654.0,,2.1805,2.9692,10.2,314.99,6218.0,4.308,True,toi
TOI 264.01,0.727,0.174,,1.63,,2946.0,1864.0,,2.2167,3.604,9.6,434.75,5773.0,3.601,True,toi
TOI 513.01,0.001,0.011,,0.31,,938.0,593.0,,1.4454,3.6843,12.4,190.23,3401.0,4.793,True,toi
TOI 496.01,0.447,0.207,,2.59,,2282.0,1778.0,,2.7677,1.8764,11.7,791.38,6785.0,4.247,True,toi
TOI 639.01,0.003,0.33,,2.03,,720.0,606.0,,2.8198,6.6113,13.2,160.84,3674.0,4.931,True,toi
TOI 330.01,0.003,0.036,,0.8,,975.0,750.0,,4.2795,2.4641,11.0,200.33,4314.0,4.573,True,toi
