draw_index,stable,note,m_b,a_b,e_b,inc_b,Omega_b,omega_b,M_b,m_c,a_c,e_c,inc_c,Omega_c,omega_c,M_c,m_d,a_d,e_d,inc_d,Omega_d,omega_d,M_d,m_e,a_e,e_e,inc_e,Omega_e,omega_e,M_e,detail_file
4100,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.758321e-05,0.17053397,0.23823363,1.5707963267948966,0.0,-2.3662763,1.8875146,1.2491713e-05,0.2074655,0.20395403,1.5707963267948966,0.0,-2.3660233,4.2614145,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_4100.csv
5657,True,stable,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.4106121e-05,0.17053497,0.012591567,1.5707963267948966,0.0,-2.6610947,1.818502,8.2617935e-06,0.20746234,0.011104076,1.5707963267948966,0.0,-2.7483556,4.3397307,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_5657.csv
2735,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.37563775e-05,0.17053403,0.1229312,1.5707963267948966,0.0,-2.2317991,1.5292773,7.1284676e-06,0.2074649,0.10603668,1.5707963267948966,0.0,-2.2394042,3.950262,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_2735.csv
519,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.4490395e-05,0.17053448,0.17514864,1.5707963267948966,0.0,-2.5757608,2.0273747,8.516125e-06,0.20746312,0.15090916,1.5707963267948966,0.0,-2.5815556,4.423545,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_519.csv
5390,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.3817202e-05,0.17053443,0.2762637,1.5707963267948966,0.0,-2.641253,2.308189,9.085059e-06,0.20746249,0.23869163,1.5707963267948966,0.0,-2.643791,4.669342,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_5390.csv
3572,True,stable,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.1271626e-05,0.17053477,0.00554132,1.5707963267948966,0.0,-1.044355,0.17388391,6.9582884e-06,0.20746283,0.0039903047,1.5707963267948966,0.0,-1.3968877,2.966296,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_3572.csv
5357,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.2746372e-05,0.1705343,0.2998239,1.5707963267948966,0.0,-2.3052847,1.9179235,7.417478e-06,0.20746323,0.25923428,1.5707963267948966,0.0,-2.310254,4.2860236,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_5357.csv
1556,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.6151964e-05,0.17053412,0.22833912,1.5707963267948966,0.0,-2.3149083,1.8016295,1.0394935e-05,0.2074653,0.19599992,1.5707963267948966,0.0,-2.3163188,4.183963,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_1556.csv
3723,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.5682128e-05,0.17053437,0.23922305,1.5707963267948966,0.0,-2.4036596,1.9382863,9.329644e-06,0.20746358,0.2058236,1.5707963267948966,0.0,-2.4069238,4.316693,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_3723.csv
592,False,orbit crossing,2.8828745865873613e-05,0.079,0.0,1.5707963267948966,0.0,1.5707963267948966,1.101827867291238,1.6378135e-05,0.17053477,0.22559305,1.5707963267948966,0.0,-2.614999,2.1732316,1.0484081e-05,0.20746243,0.19402651,1.5707963267948966,0.0,-2.6176095,4.5488057,0.00034269932999498763,0.4,0.0,1.5707963267948966,0.0,4.014257279586958,4.090677566041135,sim_details_e=0_rhill/sim_592.csv
